Group,Timing,LacZ+ cells ,Test Freezing
Running,Run after,0.32,15.0
Running,Run after,0.28,35.9
Running,Run after,0.24,21.5
Running,Run after,0.40,17.8
Running,Run after,0.13,50.5
Running,Run after,0.21,22.1
Running,Run after,0.34,10.4
Running,Run after,0.34,29.3
Sedentary,Run after,n,64.8
Sedentary,Run after,0.16,72.6
Sedentary,Run after,0.20,33.3
Sedentary,Run after,0.18,14.4
Sedentary,Run after,0.26,60.0
Sedentary,Run after,0.11,63.0
Sedentary,Run after,0.21,28.2
Sedentary,Run after,0.13,36.0
Sedentary,Run after,0.22,74.0
Running,Run before,0.25,45.7
Running,Run before,0.26,59.2
Running,Run before,0.28,72.7
Running,Run before,0.34,76.7
Running,Run before,0.37,60.8
Running,Run before,0.47,32.6
Running,Run before,0.15,57.3
Running,Run before,0.18,40.5
Running,Run before,n,39.9
Sedentary,Run before,0.12,31.0
Sedentary,Run before,0.13,37.3
Sedentary,Run before,0.14,42.7
Sedentary,Run before,0.16,38.8
Sedentary,Run before,0.18,39.0
Sedentary,Run before,0.20,66.3
Sedentary,Run before,0.22,36.8
Sedentary,Run before,n,76.9
Sedentary,Run before,n,75.3
Sedentary,Run before,n,38.0
