Group,Genotype,Test Freezing,DCX+ cells
Running,TK,40.80,0.19
Running,TK,75.94,0.39
Running,TK,54.77,0.13
Running,TK,54.08,0.26
Running,TK,40.39,0.28
Running,TK,87.69,0.40
Running,TK,53.25,0.13
Running,TK,81.88,0.47
Running,TK,57.95,0.17
Running,TK,87.41,n
Sedentary,TK,12.59,0.04
Sedentary,TK,78.15,0.05
Sedentary,TK,92.26,0.05
Sedentary,TK,38.59,0.10
Sedentary,TK,99.72,0.28
Sedentary,TK,17.56,0.29
Sedentary,TK,52.15,0.22
Sedentary,TK,33.75,0.07
Sedentary,TK,72.20,n
Sedentary,TK,37.90,n
Sedentary,TK,66.25,n
Sedentary,TK,82.99,n
Running,WT,93.50,0.47
Running,WT,4.98,0.74
Running,WT,80.50,0.20
Running,WT,41.63,0.79
Running,WT,0.55,0.71
Running,WT,26.28,0.59
Running,WT,1.24,0.27
Running,WT,41.36,0.49
Running,WT,66.39,0.61
Running,WT,6.36,0.66
Running,WT,29.74,0.22
Running,WT,86.03,0.43
Running,WT,6.50,0.53
Running,WT,35.41,0.95
Sedentary,WT,64.73,0.35
Sedentary,WT,82.29,n
Sedentary,WT,33.47,n
Sedentary,WT,91.70,0.38
Sedentary,WT,66.53,0.29
Sedentary,WT,85.34,0.28
Sedentary,WT,58.92,n
Sedentary,WT,52.28,0.31
Sedentary,WT,56.98,0.05
Sedentary,WT,87.28,n
Sedentary,WT,57.26,n
Sedentary,WT,23.52,n
Sedentary,WT,59.48,n
Sedentary,WT,33.33,n
Sedentary,WT,70.12,n
Sedentary,WT,91.01,n
