Group,Test Freezing,Ki67+ cells 
Running,28.85,0.22
Running,71.88,0.21
Running,36.86,0.17
Running,41.70,0.13
Running,26.22,0.30
Running,7.77,0.26
Running,15.09,0.17
Running,29.25,0.24
Running,30.07,0.13
Running,8.85,0.21
Running,12.74,0.17
Running,11.90,0.20
Running,33.79,0.12
Running,73.26,0.16
Running,37.94,0.21
Running,9.84,n
Sedentary,61.52,0.10
Sedentary,65.24,0.09
Sedentary,64.96,0.12
Sedentary,55.16,0.15
Sedentary,33.81,0.19
Sedentary,63.05,0.16
Sedentary,13.85,0.18
Sedentary,11.76,0.21
Sedentary,9.54,n
Sedentary,48.50,0.12
Sedentary,59.44,0.08
Sedentary,9.96,0.15
Sedentary,78.50,0.13
Sedentary,29.53,0.12
Sedentary,75.31,0.11
Sedentary,87.27,0.09
