Group,Test Freezing,Ki67+ cells 
Running,14.70,0.09
Running,21.86,0.19
Running,31.31,0.15
Running,32.49,0.20
Running,36.17,0.24
Running,36.57,0.13
Running,43.94,0.21
Running,48.28,0.13
Running,50.44,0.23
Running,55.04,0.12
Running,57.72,0.16
Running,65.92,0.17
Sedentary,22.49,0.17
Sedentary,25.90,0.14
Sedentary,27.40,0.12
Sedentary,32.55,0.12
Sedentary,37.53,0.11
Sedentary,39.78,0.12
Sedentary,41.91,0.13
Sedentary,42.22,0.11
Sedentary,45.84,0.11
Sedentary,62.06,0.13
Sedentary,64.00,0.11
Sedentary,69.88,0.12
