Drug,Test Freezing,Ki67+ cells,DCX+ cells
Vehicle,69.67,0.28,n
Vehicle,38.80,n,n
Vehicle,50.71,n,n
Vehicle,26.53,0.30,0.36
Vehicle,37.91,0.33,0.42
Vehicle,69.42,n,n
Vehicle,13.73,n,n
Vehicle,2.08,n,n
Vehicle,19.65,n,n
Vehicle,43.33,0.31,0.58
Vehicle,24.90,0.25,0.77
Vehicle,68.43,0.31,0.70
Vehicle,44.43,n,n
Vehicle,3.87,n,n
Vehicle,13.92,0.28,0.57
Vehicle,15.80,0.31,0.43
Vehicle,19.16,0.31,n
Vehicle,44.58,0.16,n
Vehicle,23.96,n,n
Vehicle,11.08,n,n
Vehicle,13.29,n,n
TMZ,58.87,0.19,0.20
TMZ,75.49,0.27,0.40
TMZ,36.57,0.11,0.20
TMZ,18.25,n,0.22
TMZ,30.31,0.27,n
TMZ,10.53,n,n
TMZ,1.11,n,n
TMZ,29.41,n,n
TMZ,49.52,n,n
TMZ,48.62,0.35,0.30
TMZ,40.83,0.30,n
TMZ,23.12,n,n
TMZ,45.28,0.21,0.33
TMZ,24.59,0.14,0.43
TMZ,28.54,0.14,n
TMZ,3.33,0.15,n
TMZ,32.26,0.14,n
TMZ,9.14,0.13,n
TMZ,13.03,n,n
TMZ,11.82,n,n
TMZ,1.26,n,n
