Age,Preexposure  ,Day,Test Freezing
17,Pre-exposure,1,11.6
17,Pre-exposure,1,16.3
17,Pre-exposure,1,60.3
17,Pre-exposure,1,25.4
17,Pre-exposure,1,50.8
17,Pre-exposure,1,23.7
17,Pre-exposure,1,17.4
17,Pre-exposure,1,4.2
17,Pre-exposure,1,1.8
17,Pre-exposure,1,80.7
17,Pre-exposure,1,7.6
17,Pre-exposure,1,16.3
17,Pre-exposure,1,34.9
17,No Pre-exposure,1,0.1
17,No Pre-exposure,1,4.6
17,No Pre-exposure,1,2.8
17,No Pre-exposure,1,3.0
17,No Pre-exposure,1,13.8
17,No Pre-exposure,1,1.1
17,No Pre-exposure,1,10.0
17,No Pre-exposure,1,0.0
17,No Pre-exposure,1,8.0
17,No Pre-exposure,1,4.2
17,Pre-exposure,7,82.3
17,Pre-exposure,7,12.4
17,Pre-exposure,7,1.7
17,Pre-exposure,7,1.9
17,Pre-exposure,7,9.0
17,Pre-exposure,7,22.4
17,Pre-exposure,7,4.4
17,Pre-exposure,7,15.6
17,Pre-exposure,7,14.3
17,Pre-exposure,7,45.2
17,Pre-exposure,7,10.1
17,Pre-exposure,7,14.3
17,Pre-exposure,7,19.8
17,No Pre-exposure,7,0.3
17,No Pre-exposure,7,4.1
17,No Pre-exposure,7,2.4
17,No Pre-exposure,7,2.1
17,No Pre-exposure,7,4.7
17,No Pre-exposure,7,8.9
17,No Pre-exposure,7,3.1
17,No Pre-exposure,7,1.2
17,No Pre-exposure,7,0.7
17,Pre-exposure,14,5.68
17,Pre-exposure,14,19.5
17,Pre-exposure,14,16.5
17,Pre-exposure,14,14.7
17,Pre-exposure,14,19.0
17,Pre-exposure,14,13.8
17,Pre-exposure,14,49.0
17,Pre-exposure,14,40.5
17,Pre-exposure,14,18.8
17,Pre-exposure,14,1.5
17,Pre-exposure,14,12.4
17,Pre-exposure,14,22.0
17,Pre-exposure,14,27.5
17,No Pre-exposure,14,4.4
17,No Pre-exposure,14,1.8
17,No Pre-exposure,14,10.4
17,No Pre-exposure,14,2.8
17,No Pre-exposure,14,0.0
17,No Pre-exposure,14,6.5
17,No Pre-exposure,14,0.0
17,No Pre-exposure,14,1.9
17,No Pre-exposure,14,0.0
17,Pre-exposure,28,6.7
17,Pre-exposure,28,0.4
17,Pre-exposure,28,4.7
17,Pre-exposure,28,2.5
17,Pre-exposure,28,1.4
17,Pre-exposure,28,4.0
17,Pre-exposure,28,0.0
17,Pre-exposure,28,57.2
17,Pre-exposure,28,0.0
17,Pre-exposure,28,6.4
17,Pre-exposure,28,1.9
17,Pre-exposure,28,14.9
17,Pre-exposure,28,33.4
17,Pre-exposure,28,1.8
17,Pre-exposure,28,3.0
17,No Pre-exposure,28,0.0
17,No Pre-exposure,28,1.7
17,No Pre-exposure,28,0.6
17,No Pre-exposure,28,0.8
17,No Pre-exposure,28,25.5
17,No Pre-exposure,28,1.9
17,No Pre-exposure,28,4.8
17,No Pre-exposure,28,0.8
17,No Pre-exposure,28,0.0
60,Pre-exposure,1,20.1
60,Pre-exposure,1,42.8
60,Pre-exposure,1,17.3
60,Pre-exposure,1,50.0
60,Pre-exposure,1,5.5
60,Pre-exposure,1,15.8
60,Pre-exposure,1,23.0
